City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bozeman,US,69.22,Clear,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
6,Kalispell,US,65.68,Clear,48.1958,-114.3129,Red Lion Hotel Kalispell
7,Poum,NC,77.34,Clear,-20.2333,164.0167,
8,Rikitea,PF,68.45,Clouds,-23.1203,-134.9692,People ThankYou
9,Puerto Ayora,EC,65.55,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Bambous Virieux,MU,70.21,Clouds,-20.3428,57.7575,Casa Tia Villa
15,Hithadhoo,MV,82.56,Rain,-0.6,73.0833,Scoop Guest House
16,Mahebourg,MU,70.25,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Puerto Baquerizo Moreno,EC,67.66,Clouds,-0.9,-89.6,Hotel los Algarrobos
18,Kotido,UG,69.78,Clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
19,Cayenne,GF,78.84,Clear,4.9333,-52.3333,Hôtel Le Dronmi
21,Alenquer,BR,76.73,Clouds,-1.9417,-54.7383,Detinha Hotel
29,Guerrero Negro,MX,75.6,Clear,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
31,San Quintin,MX,73.22,Clear,30.4833,-115.95,Don Eddie's Sport Fishing Center
33,Bengkulu,ID,80.17,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Kloulklubed,PW,81.1,Clouds,7.0419,134.2556,Storyboard Beach Resort
41,Ponta Do Sol,PT,70.72,Clouds,32.6667,-17.1,Hotel do Campo
43,Sinnai,IT,66.51,Clear,39.3042,9.2036,La Rosa Dei Venti Sardinya
44,Arraial Do Cabo,BR,68.63,Rain,-22.9661,-42.0278,Pousada Porto Praia
46,Coxim,BR,77.99,Clouds,-18.5067,-54.76,Rancho Da Curica
48,Isangel,VU,81.41,Clouds,-19.55,169.2667,Tanna Lodge
50,Kavaratti,IN,81.25,Clouds,10.5669,72.642,Green leaf
57,Atuona,PF,76.71,Rain,-9.8,-139.0333,Villa Enata
58,Soyo,AO,74.21,Clouds,-6.1349,12.3689,Hospedaria ndozi'ame
64,Kapaa,US,84.18,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Butaritari,KI,82.4,Clouds,3.0707,172.7902,Isles Sunset Lodge
69,Ribeira Grande,PT,70.47,Clouds,38.5167,-28.7,Quinta da Meia Eira
70,Hambantota,LK,84.54,Clouds,6.1241,81.1185,Bungalow 63
72,Grand Gaube,MU,70.38,Clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
73,Saint-Philippe,RE,67.59,Clouds,-21.3585,55.7679,Le four à pain
74,Caraballeda,VE,82.87,Clouds,10.6112,-66.8522,Ole Caribe
78,Kuliyapitiya,LK,82.08,Clouds,7.4688,80.0401,Rest House
79,Jacareacanga,BR,79.79,Clouds,-6.2222,-57.7528,Casa do Ian😎
80,Suba,PH,82.35,Clouds,10.8438,121.0102,Jarnchi Pension House
